date,Rollo de Justicia, Palacio Fotificado de Castildelgado, Castillo de Belorado, Ruinas de la Iglesia de San FÃ©lix de Villafranca Montes de Oca, Monasterio de San Juan de Ortega, Sierra de Atapuerca, Cueva del Silo de Ibeas de Juarros, Cueva Mayor Portalon de entrada de Ibeas de Juarros, Cueva Mayor Principal SalÃ³n del Coro de Ibeas de Juarros, Casco histÃ³rico de la ciudad de Burgos, Archivo Historico Provicial de Burgos, Biblioteca PÃºblica de Burgos, Castillo de Burgos, Muralla de Burgos, Torre de Albillos de Burgos, Cartuja de Santa MarÃ­a de Miraflores de Burgos, Casa del CordÃ³n de Burgos, Casa de Miranda de Burgos, Museo de Burgos, Conjunto del Monasterio de San Juan de Burgos, Monasterio de San Juan de Burgos, Iglesia de San Lesmes de Burgos, Puente de San Lesmes de Burgos, Arco de San Juan de Burgos, Consulado del Mar de Burgos, Hospital de la ConcepciÃ³n de Burgos, Hospital del Rey de Burgos, Catedral de Santa MarÃ­a de Burgos, Iglesia de San Esteban de Burgos, Iglesia de San Gil de Burgos, Palacio del Paseo de la Isla, Puerta de San Esteban de Burgos, Real Monasterio de San AgustÃ­n de Burgos, Teatro Principal de Burgos, Crucero de Tardajos, Calzada de la Plata en Castilla y LeÃ³n de Astorga, La ciudad de Astorga, Murallas de Astorga, Ayuntamiento de Astorga, Catedral de Santa MarÃ­a de Astorga, ErgÃ¡stula Romana de Atorga, Palacio Episcopal de Astorga, Iglesia Parroquial de la AsunciÃ³n de Rabanal del Camino, La Villa de Molinaseca, El Casco Antiguo de Ponferrada, Castillo de El Temple de Ponferrada, Yacimiento arqueolÃ³gico de La Edrada, El Castro de la Ventosa de Pieros, Zona Antigua de Villafranca del Bierzo, Castillo de Villafranca del Bierzo
2014-09-01,0,0,0,0,0,38,0,0,0,0,0,0,42,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,15
2014-10-01,0,0,0,0,0,38,0,0,0,0,0,0,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16
2014-11-01,0,0,0,0,0,57,0,0,0,0,0,0,32,4,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,14,0,11,0,0,44,0,0,0,0,0,0,0,19
2014-12-01,0,0,0,0,0,46,0,0,0,0,0,0,24,0,0,0,0,0,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18
2015-01-01,0,0,0,0,0,45,0,0,0,0,0,0,31,0,0,0,0,0,9,0,24,0,0,0,0,0,0,0,14,0,0,0,0,20,0,0,8,0,0,0,0,36,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,40,0,0,0,0,65,0,0,0,0,0,0,38,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,36,0,46,0,0,21,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,13,0,0,0,0,0,0,57,0,0,0,0,0,11,0,31,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,36,0,0,54,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,45,0,0,0,0,0,0,37,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,22,0,0,0,0,12,0,0,10,0,23,0,0,41,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,34,0,0,0,0,0,0,32,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,31,0,0,25,0,0,0,0,0,0,0,31
